token,pos,lemma,aspect,tense,verbForm,voice,mood,number,person,case,gender
videretur,v,video,imperf,past,finite,passive,coni,sg,3,,
iactura,n,iactura,,,,,,sg,,nom,f
motus,n,motus,,,,,,sg,,nom,m
basiavit,v,basio,perf,past,finite,active,ind,sg,3,,
puerum,n,puer,,,,,,sg,,acc,m
iussit,v,iubeo,perf,past,finite,active,ind,sg,3,,
supra,adp,supra,,,,,,,,,
dorsum,n,dorsum,,,,,,sg,,acc,n
ascendere,v,ascendo,imperf,praes,infinitive,active,,,,,
suum,pron,suus,,,,,,sg,,acc,n
moratus,v,moror,perf,past,participle,passive,,sg,,nom,m
ille,pron,ille,,,,,,sg,,nom,m
usus,n,usus,,,,,,sg,,nom,m
est,aux,sum,,praes,finite,active,ind,sg,3,,
equo,n,equus,,,,,,sg,,abl,m
manu,n,manus,,,,,,sg,,abl,f
plena,adi,plenus,,,,,,sg,,abl,f
scapulas,n,scapula,,,,,,pl,,acc,f
eius,pron,is,,,,,,sg,,gen,m
subinde,adv,subinde,,,,,,,,,
verberavit,v,verbero,perf,past,finite,active,ind,sg,3,,
interque,adp,interque,,,,,,,,,
risum,n,risus,,,,,,sg,,acc,m
proclamavit,v,proclamo,perf,past,finite,active,ind,sg,3,,
bucco,n,buccus,,,,,,sg,,dat,m
bucco,n,bucco,,,,,,sg,,nom,m
quot,pron,quot,,,,,,,,,
sunt,aux,sum,,praes,finite,active,ind,pl,3,,
repressus,v,reprimo,perf,past,participle,passive,,sg,,nom,m
aliquamdiu,adv,aliquamdiu,,,,,,,,,
trimalchio,n,trimalchio,,,,,,sg,,nom,m
camellam,n,camella,,,,,,sg,,acc,f
grandem,adi,grandis,,,,,,sg,,acc,f
grande,adv,grande,,,,,,,,,
iussit,v,iubeo,perf,past,finite,active,ind,sg,3,,
misceri,v,misceo,imperf,praes,infinitive,passive,,,,,
potiones,n,potio,,,,,,pl,,acc,f
dividi,v,dividi,imperf,praes,infinitive,passive,,,,,
omnibus,adi,omnis,,,,,,pl,,abl,m
servis,n,servus,,,,,,pl,,abl,m
qui,pron,qui,,,,,,pl,,nom,m
ad,adp,ad,,,,,,,,,
pedes,n,pes,,,,,,pl,,acc,m
sedebant,v,sedeo,imperf,past,finite,active,ind,pl,3,,
adiecta,v,adiicio,perf,past,participle,passive,,sg,,abl,f
exceptione,n,exceptio,,,,,,sg,,abl,f
quis,pron,quis,,,,,,sg,,nom,m
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
noluerit,v,nolo,perf,past,finite,active,coni,sg,3,,
accipere,v,accipio,imperf,praes,infinitive,active,,,,,
caput,n,caput,,,,,,sg,,acc,n
illi,pron,ille,,,,,,sg,,dat,m
perfunde,v,perfundo,imperf,praes,finite,active,imperative,sg,2,,
interdiu,adv,interdiu,,,,,,,,,
severa,adi,severa,,,,,,pl,,acc,n
nunc,adv,nunc,,,,,,,,,
hilaria,n,hilaria,,,,,,sg,,acc,n
narra,v,naro,imperf,praes,finite,active,ind,sg,2,,
mihi,pron,ego,,,,,,sg,,dat,m
gai,n,gaus,,,,,,sg,,gen,m
rogo,v,rogo,imperf,praes,finite,active,ind,sg,2,,
fortunata,v,fortuno,perf,past,participle,passive,,pl,,acc,n
recumbit,v,recumbo,imperf,praes,finite,active,ind,sg,3,,
quomodo,adv,quomodo,,,,,,,,,
nosti,v,nosco,imperf,praes,finite,active,ind,sg,2,,
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
illam,pron,ille,,,,,,sg,,acc,f
trimalchio,n,trimalchio,,,,,,sg,,acc,n
argentum,n,argentum,,,,,,sg,,acc,n
composuerit,v,compono,perf,past,finite,active,coni,sg,3,,
reliquias,n,reliquia,,,,,,pl,,acc,f
pueris,n,puer,,,,,,pl,,abl,m
diviserit,v,dieo,perf,past,finite,active,coni,sg,3,,
aquam,n,aqua,,,,,,sg,,acc,f
in,adp,in,,,,,,,,,
os,n,os,,,,,,sg,,acc,n
suum,pron,suus,,,,,,sg,psor,acc,n
coniciet,v,conicio,imperf,fut,finite,active,ind,sg,3,,
atqui,coniunctio,atqui,,,,,,,,,
respondit,v,respondeo,perf,past,finite,active,ind,sg,3,,
habinnas,n,habinna,,,,,,sg,,nom,f
illa,pron,ille,,,,,,sg,,nom,f
discumbit,v,disco,perf,past,finite,active,ind,sg,3,,
me,pron,ego,,,,,,sg,,acc,m
apoculo,n,apoculus,,,,,,sg,,abl,m
coeperat,v,coepi,perf,pluperfect,finite,active,ind,sg,3,,
surgere,v,surgo,imperf,praes,infinitive,active,,,,,
signo,n,signum,,,,,,sg,,abl,n
dato,v,do,perf,past,participle,passive,,sg,,abl,n
fortunata,v,fortuno,perf,past,participle,passive,,sg,,nom,f
quater,n,quater,,,,,,sg,,abl,f
amplius,adv,ample,,,,,,,,,
a,adp,ab,,,,,,,,,
tota,adj,totus,,,,,,sg,,abl,f
familia,n,familia,,,,,,sg,,abl,f
esset,aux,sum,imperf,past,finite,active,coni,sg,3,,
vocata,v,voco,perf,past,participle,passive,,sg,,nom,f
venit,v,venio,imperf,past,finite,active,ind,sg,3,,
galbino,adv,galbino,,,,,,,,,
succincta,v,succingo,perf,past,participle,passive,,sg,,nom,f
cingillo,n,cingillus,,,,,,sg,,abl,n
cerasina,adi,cerasinus,,,,,,sg,,nom,f
appareret,v,appareo,imperf,past,finite,active,coni,sg,3,,
tunica,n,tunicus,,,,,,sg,,nom,f
periscequi,n,periscequus,,,,,,sg,,gen,n
haec,pron,hic,,,,,,pl,,nom,n
nutriuntur,v,nutrio,imperf,praes,finite,passive,ind,pl,3,,
magis,adv,magis,,,,,,,,,
sapere,v,sapio,imperf,praes,infinitive,active,,,,,
possunt,v,possum,imperf,praes,finite,active,ind,pl,3,,
quam,adv,quam,,,,,,,,,
bene,adv,bene,,,,,,,,,
olere,v,olio,imperf,praes,infinitive,active,,,,,
qui,pron,qui,,,,,,pl,,nom,m
in,adp,in,,,,,,,,,
culina,n,culina,,,,,,sg,,abl,f
habitant,v,habito,imperf,praes,finite,active,ind,pl,3,,
pace,n,pax,,,,,,sg,,abl,f
vestra,pron,vestra,,,,,,sg psor,psor,abl,f
liceat,v,licet,imperf,praes,finite,active,coni,sg,3,,
dixisse,v,dico,perf,past,infinitive,active,,,,,
primi,adi,primus,,,,,,sg,,gen,m
omnium,pron,omnis,,,,,,pl,,gen,n
eloquentiam,n,eloquentia,,,,,,sg,,acc,f
perdidistis,v,perdido,perf,past,finite,active,ind,pl,2,,
levibus,n,les,,,,,,pl,,dat,m
inanibus,adi,inanis,,,,,,pl,,dat,m
sonis,n,sonus,,,,,,pl,,dat,m
ludibria,n,ludibria,,,,,,pl,,acc,n
quaedam,pron,quidam,,,,,,pl,,acc,n
excitando,v,excito,perf,,gerund,active,,sg,,abl,
